analysis,BMD,BMDL,BMDH,bmd_id,ID,author_year,link,Substance,type,func,vendor,media,media_viscosity,media_density,media_temperature,pp_density,agg_diameter,length,size_class,lat_size,layer,thick,ssa,z_pot,plate,ali,time,cell_type,cell_type_general,species,endotox,variable,new_name,BMD_range
Graphene_4070_dose_viability_pi.txt,59.93,51.8,68.4,4070,358,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,,,37,,126.3,,S,,1,,,-13.7,96,Submerged,24,A549,epithelial,human,NO,viability_pi,Graphene oxide ,16.6
Graphene_1018_dose_alive.txt,38.56,23.3,58.3,1018,111,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,37,,,,L,750-1300,1,1,,-6.9,96,Submerged,24,J774.A1,macrophage,rodent,,alive,Graphene oxide ,35
Graphene_2013_dose_cfa.txt,0.08387,0.0799,0.088,2013,95,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs,,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,L,1000-2000,2,<4,>750,,6,Submerged,240,BEAS- 2B,epithelial,human,,cfa,Graphene ,0.0081
Graphene_2014_dose_cfa.txt,10,9.8,10.2,2014,101,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO Single layer ,,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,M,300-800,1,0.7-1.2,,,6,Submerged,240,BEAS- 2B,epithelial,human,,cfa,Graphene oxide ,0.4
Graphene_2015_dose_cfa.txt,0.5574,0.526,0.589,2015,102,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers ,,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,M,300-800,6,4.2-7.2,,,6,Submerged,240,BEAS- 2B,epithelial,human,,cfa,Graphene oxide ,0.063
Graphene_2016_dose_cfa.txt,0.2303,0.224,0.237,2016,98,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,L,1000-2000,1.5,<3,>750,,6,Submerged,240,BEAS- 2B,epithelial,human,,cfa,Graphene NH2,0.013
Graphene_2017_dose_cfa.txt,1.988,1.95,2.03,2017,104,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,L,1000-2000,1.5,<3,>750,,6,Submerged,240,BEAS- 2B,epithelial,human,,cfa,Graphene COOH,0.08
Graphene_3008_dose_ez_cyto.txt,31.23,27.6,35.4,3008,35,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,L,1000-2000,2,<4,>750,,96,Submerged,24,BEAS- 2B,epithelial,human,,ez_cyto,Graphene ,7.8
Graphene_3009_dose_ez_cyto.txt,60.98,52.4,67.7,3009,41,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,M,300-800,1,0.7-1.2,,,96,Submerged,24,BEAS- 2B,epithelial,human,,ez_cyto,Graphene oxide ,15.3
Graphene_3010_dose_ez_cyto.txt,53.36,49.8,56.7,3010,44,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,0.001217424,1.02858,37,,,,M,300-800,6,4.2-7.2,,,96,Submerged,24,BEAS- 2B,epithelial,human,,ez_cyto,Graphene oxide ,6.9
