ID,author_year,link,Substance,type,func,vendor,media,agg_diameter,length,size_class,lat_size,layer,thick,ssa,z_pot,plate,ali,dose,time,bmd_id,species,cell_type_general,cell_type,n_cell,endotox,notes,variable,value
1,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,5,24,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,94
2,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,10,24,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99
3,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,25,24,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99
4,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,50,24,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
5,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,100,24,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
6,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,200,24,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
7,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,200,24,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99
8,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,50,24,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
9,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,100,24,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,95
10,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,10,24,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
