,ID,author_year,link,Substance,type,func,vendor,media,agg_diameter,length,size_class,lat_size,layer,thick,ssa,z_pot,plate,ali,dose,time,bmd_id,species,cell_type_general,cell_type,n_cell,endotox,notes,variable,value
0,1,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,5.0,24.0,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,94.0
1,2,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,10.0,24.0,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99.0
2,3,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,25.0,24.0,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99.0
3,4,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,50.0,24.0,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
4,5,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,100.0,24.0,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
5,6,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,Graphene oxide,GO,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1000,2.5,,157,-39.3,24,Submerged,200.0,24.0,19,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
6,7,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,200.0,24.0,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99.0
7,8,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,50.0,24.0,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
8,9,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,100.0,24.0,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,95.0
9,10,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,10.0,24.0,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
10,11,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,5.0,24.0,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
11,12,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,25.0,24.0,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
12,13,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,5.0,24.0,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
13,14,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,10.0,24.0,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
14,15,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,25.0,24.0,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
15,16,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,50.0,24.0,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
16,17,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,100.0,24.0,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100.0
17,18,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,200.0,24.0,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99.0
18,19,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,160.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,53.6
